Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Free-by-cyclic,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaaabAABB,,2,False,Z^1,False,,True,False,,,,,
aaaabABBB,,2,False,Z^1,False,,True,False,,,,,
aaabaaaBB,,2,False,Z^1,False,,True,True,,,,,
aaabaabbb,,2,False,Z^1,False,,True,False,,,,,
aaabaaBBB,,2,False,Z^1,False,,True,False,,,,,
aaababaBB,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaababbaB,,2,False,Z^1,False,,True,False,,,,,
aaababbAb,,2,False,Z^1,False,,True,False,,,,,
aaababbAB,,2,False,Z^1,False,,True,False,,,,,
aaababAbb,,2,False,Z^1,False,,True,False,,,,,
aaababABB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaabaBabb,,2,False,Z^1,False,,True,False,,,,,
aaabaBaBB,,2,False,Z^1,False,,True,False,,,,,
aaabaBAbb,,2,False,Z^1,False,,True,False,,,,,
aaabaBABB,,2,False,Z^1,False,,True,False,,,,,
aaabaBBab,,2,False,Z^1+Z/5Z,False,,True,True,m003,,,,
aaabaBBAb,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaabbaabb,,2,False,Z^1,False,bb,True,True,,,,,
aaabbaaBB,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaabbabaB,,2,False,Z^1,False,,True,False,,,,,
aaabbabbb,,2,False,Z^1,False,,True,False,,,,,
aaabbabAb,,2,False,Z^1,False,,True,False,,,,,
aaabbabAB,,2,False,Z^1,False,,True,False,,,,,
aaabbaBab,,2,False,Z^1,False,,True,False,,,,,
aaabbaBAb,,2,False,Z^1,False,,False,False,,,,,
aaabbaBAB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaabbaBBB,,2,False,Z^1,False,,True,False,,,,,
aaabbbaaB,,2,False,Z^1,False,,True,False,,,,,
aaabbbaBB,,2,False,Z^1,False,,True,False,,,,,
aaabbbAAB,,2,False,Z^1,False,,True,False,,,,,
aaabbbABB,,2,False,Z^1,False,,True,False,,,,,
aaabbAbab,,2,False,Z^1,False,,True,False,,,,,
aaabbAAbb,,2,False,Z^1,False,,True,True,,,,,
aaabbAAAb,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaabbAAAB,,2,False,Z^1,False,,False,False,,,,,
aaabbAABB,,2,False,Z^1,False,,False,False,,,,,
aaabbABAB,,2,False,Z^1,False,,False,False,,,,,
aaabAbabb,,2,False,Z^1,False,,True,False,,,,,
aaabAbbab,,2,False,Z^1,False,,True,False,,,,,
aaabABaBB,,2,False,Z^1,False,,True,False,,,,,
aaabABABB,,2,False,Z^1,False,,True,False,,,,,
aaabABBAb,,2,False,Z^1,False,,True,True,m004,K2_1,4_1,,
aabaabaBB,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aabaabbaB,,2,False,Z^1,False,,True,False,,,,,
aabaabbAB,,2,False,Z^1,False,,True,False,,,,,
aabaabABB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aabaaBabb,,2,False,Z^1,False,,True,False,,,,,
aabaaBaBB,,2,False,Z^1,False,,True,False,,,,,
aabaaBAbb,,2,False,Z^1,False,,True,False,,,,,
aabaaBABB,,2,False,Z^1,False,,True,False,,,,,
aababaaBB,,2,False,Z^1+Z/5Z,False,,False,True,m006,,,,
aababbAAB,,2,False,Z^1,False,,True,False,,,,,
aababAABB,,2,False,Z^1,False,,False,False,,,,,
aabaBaabb,,2,False,Z^1,False,,True,False,,,,,
aabaBaaBB,,2,False,Z^1,False,,True,False,,,,,
aabaBabaB,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aabaBabAB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aabaBAbaB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aabaBAbAB,,2,False,Z^1,False,,False,False,,,,,
aabaBBAbb,,2,False,Z^1,False,,False,False,,,,,
aabaBBAAb,,2,False,Z^1,False,,False,False,,,,,
aabbaabAB,,2,False,Z^1,False,,True,False,,,,,
aabbaaBAb,,2,False,Z^1,False,,True,False,,,,,
aabbaaBAB,,2,False,Z^1+Z/3Z,False,,False,True,m007,,,,
aabbaBAAB,,2,False,Z^1,False,,False,False,,,,,
aabABabaB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aabABabAB,,2,False,Z^1,False,,False,False,,,,,
aabABAbaB,,2,False,Z^1,False,,False,False,,,,,
aabABAbAB,,2,False,Z^1,False,,False,False,,,,,
aaaaaaaaaa,"C_10",1,a,Z^0+Z/10Z,True,a,False,True,,,,,
aaaaaaaabb,"T(8,2)",2,False,Z^1+Z/2Z,False,bb,True,True,,,,,
aaaaaaabaB,"BS(7,-1)",2,False,Z^1+Z/8Z,False,,False,False,,,,,
aaaaaaabbb,"T(7,3)",2,False,Z^1,False,bbb,True,True,,,,,
aaaaaaabAB,"BS(7,1)",2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaaaaabaaB,"BS(6,-2)",2,False,Z^1+Z/8Z,False,,False,False,,,,,
aaaaaabaBB,,2,False,Z^1,False,,True,False,,,,,
aaaaaabbaB,,2,False,Z^1,False,,True,False,,,,,
aaaaaabbbb,"T(6,4)",2,False,Z^1+Z/2Z,False,bbbb,True,True,,,,,
aaaaaabbAb,,2,False,Z^1,False,,True,False,,,,,
aaaaaabbAB,,2,False,Z^1,False,,True,False,,,,,
aaaaaabAbb,,2,False,Z^1,False,,True,False,,,,,
aaaaaabAAB,"BS(6,2)",2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaaaabABB,,2,False,Z^1,False,,True,False,,,,,
aaaaabaaaB,"BS(5,-3)",2,False,Z^1+Z/8Z,False,,False,False,,,,,
aaaaabaaBB,,2,False,Z^1,False,,True,False,,,,,
aaaaababbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaaabaBBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaaabbaaB,,2,False,Z^1,False,,True,False,,,,,
aaaaabbabb,,2,False,Z^1+Z/2Z,False,,True,True,,,,,
aaaaabbaBB,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaaaabbbab,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
