Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaaabbAABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabbABAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabbABBB,,2,False,Z^1,False,<>,False,,,,,
aaaabAbabb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaaabAbbab,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaaabAAbbb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabAAAbb,,2,False,Z^1,False,<>,False,,,,,
aaaabAAAAB,"BS(4,4)",2,False,Z^2,False,<aaaa>,,8^2_1,,8^2_1,,
aaaabAAABB,,2,False,Z^1,False,<>,False,,,,,
aaaabAABBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabABaBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabABABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaaabABBAb,,2,False,Z^1+Z/2Z,False,<>,True,m009,,,,
aaabaaabbb,,2,False,Z^1+Z/2Z,False,<>,True,,,,,
aaabaaaBBB,,2,False,Z^1+Z/2Z,False,<>,True,,,,,
aaabaabaBB,,2,False,Z^1+Z/6Z,False,<>,False,,,,,
aaabaabbaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaabbAb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabaabbAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaabAbb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabaabABB,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabaaBabb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaaBaBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaaBAbb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaaBABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaaBBab,,2,False,Z^1+Z/6Z,False,<>,False,,,,,
aaabaaBBAb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaababaaBB,,2,False,Z^1+Z/6Z,False,<>,False,,,,,
aaababaBBB,,2,False,Z^1,False,<>,False,,,,,
aaababbaaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaababbaBB,,2,False,Z^1,False,<>,False,,,,,
aaababbbaB,,2,False,Z^1,False,<>,False,,,,,
aaababbbAb,,2,False,Z^1,False,<>,False,,,,,
aaababbbAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaababbAbb,,2,False,Z^1,False,<>,False,,,,,
aaababbAAb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaababbAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaababbABB,,2,False,Z^1,False,<>,False,,,,,
aaababAbbb,,2,False,Z^1,False,<>,False,,,,,
aaababAAbb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaababAABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaababABBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBaabb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaBaaBB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaBabaB,,2,False,Z^1+Z/6Z,False,<>,,,,,,
aaabaBabbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBabAB,,2,False,Z^1+Z/4Z,False,<>,,,,,,
aaabaBaBBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBAbaB,,2,False,Z^1+Z/4Z,False,<>,,,,,,
aaabaBAbbb,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBAbAB,,2,False,Z^1+Z/2Z,False,<>,,,,,,
aaabaBAAbb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaBAABB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaBABBB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBBabb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBaBB,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAbb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBAAb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabaBBABB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabaBBBab,,2,False,Z^1,False,<>,True,m011,,,,
aaabaBBBAb,,2,False,Z^1,False,<>,False,,,,,
aaabaBBBAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbaaabb,,2,aaabb,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaaaBB,,2,False,Z^1+Z/6Z,False,<>,False,,,,,
aaabbaabaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaabbb,,2,False,Z^1+Z/5Z,False,<>,False,,,,,
aaabbaabAb,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbaabAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaaBab,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaaBAb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaaBAB,,2,False,Z^1+Z/4Z,False,<>,False,,,,,
aaabbaaBBB,,2,False,Z^1,False,<>,False,,,,,
aaabbabaaB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbabaBB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbaB,,2,False,Z^1,False,<>,False,,,,,
aaabbabbAb,,2,False,Z^1,False,<>,False,,,,,
aaabbabbAB,,2,False,Z^1+Z/3Z,False,<>,False,,,,,
aaabbabAbb,,2,False,Z^1,False,<>,False,,,,,
aaabbabAAb,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbabAAB,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbabABB,,2,False,Z^1,False,<>,False,,,,,
aaabbaBaab,,2,False,Z^1+Z/2Z,False,<>,False,,,,,
aaabbaBabb,,2,False,Z^1,False,<>,True,,,,,
